ticket_id,event_id,section,available,price,row,seller_id
1,162,998,1,42,GA,1
2,162,406,2,46,3,1
3,162,998,12,50,GA1,1
4,162,436,2,59,6,1
5,162,524,2,62,2,1
6,162,406,2,62,8,1
7,162,403,3,63,10,1
8,162,223,1,63,17,1
9,162,239,2,67,7,1
10,162,240,2,67,14,1
11,162,236,2,68,11,1
12,162,242,2,68,4,1
13,162,208,2,70,14,1
14,162,300,2,76,GA,1
15,162,300,2,77,GA,1
16,162,140,2,76,7,1
17,162,226,2,79,16,1
18,162,139,2,89,12,1
19,162,219,4,90,14,1
20,162,105,2,92,13,1
21,162,105,2,97,8,1
22,162,235,4,97,11,1
23,162,133,1,97,8,1
24,162,211,2,125,5,1
25,162,300,2,125,GA1,1
26,162,117,3,183,13,1
27,162,220,2,877,14,1
28,164,997,12,17,1,4
29,164,510,3,19,9,4
30,164,512,1,20,8,4
31,164,510,2,22,7,4
32,164,510,2,22,10,4
33,164,542,3,23,7,4
34,164,518,3,23,7,4
35,164,544,2,23,10,4
36,164,530,4,24,12,4
37,164,508,6,25,6,4
38,164,997,4,25,G00,4
39,164,997,8,27,PASS..,4
40,164,516,4,26,2,4
41,164,544,3,26,11,4
42,164,533,4,27,8,4
43,164,527,4,27,3,4
44,164,507,2,27,2,4
45,164,557,6,29,5,4
46,164,565,8,28,11,4
47,164,552,7,29,1,4
48,164,537,2,29,4,4
49,164,534,4,29,7,4
50,164,533,4,29,9,4
51,164,518,4,31,8,4
52,164,510,8,30,8,4
53,164,527,2,30,5,4
54,164,558,2,30,1,4
55,164,554,8,30,3,4
56,164,528,3,30,2,4
57,164,533,4,30,8,4
58,164,518,6,31,7,4
59,164,506,5,31,4,4
60,164,537,4,31,2,4
61,164,518,11,34,12,4
62,164,557,4,32,1,4
63,164,544,10,32,3,4
64,164,524,4,32,7,4
65,164,535,4,32,7,4
66,164,565,8,34,10,4
67,164,530,6,34,8,4
68,164,520,3,35,5,4
69,164,550,2,35,6,4
70,164,107,4,35,16,4
71,164,557,4,37,1,4
72,164,102,2,36,8,4
73,164,109,2,36,14,4
74,164,159,4,36,13,4
75,164,540,8,36,8,4
76,164,552,4,38,1,4
77,164,508,6,36,16,4
78,164,510,8,36,2,4
79,164,506,10,36,14,4
80,164,506,10,36,13,4
81,164,506,10,37,12,4
82,164,526,10,37,5,4
83,164,530,4,37,7,4
84,164,110,3,37,6,4
85,164,508,18,38,15,4
86,164,516,4,38,1,4
87,164,522,7,38,15,4
88,164,544,4,39,14,4
89,164,544,4,39,14,4
90,164,546,22,39,12,4
91,164,507,18,39,13,4
92,164,507,18,39,14,4
93,164,508,10,39,11,4
94,164,552,15,40,4,4
95,164,528,6,40,9,4
96,164,147,2,40,18,4
97,164,110,5,40,15,4
98,164,522,3,40,14,4
99,164,534,5,41,3,4
100,164,163,2,41,7,4
101,164,161,3,41,26,4
102,164,161,4,41,26,4
103,164,103,4,42,16,4
104,164,552,11,42,3,4
105,164,546,20,42,11,4
106,164,514,14,42,7,4
107,164,110,7,43,18,4
108,164,150,8,43,34,4
109,164,507,8,43,12,4
110,164,528,3,45,1,4
111,164,508,18,43,13,4
112,164,508,18,43,14,4
113,164,534,6,44,9,4
114,164,103,4,44,7,4
115,164,524,22,44,8,4
116,164,158,6,45,11,4
117,164,158,6,45,13,4
118,164,115,2,45,19,4
119,164,161,2,45,4,4
120,164,537,6,47,10,4
121,164,509,8,47,12,4
122,164,537,8,47,4,4
123,164,161,5,47,6,4
124,164,163,3,46,14,4
125,164,107,9,48,14,4
126,164,162,2,48,3,4
127,164,162,2,48,3,4
128,164,507,6,48,5,4
129,164,557,8,48,6,4
130,164,544,4,48,13,4
131,164,548,4,48,8,4
132,164,544,12,48,12,4
133,164,544,4,48,13,4
134,164,154,3,49,17,4
135,164,508,10,49,10,4
136,164,527,6,49,5,4
137,164,150,8,49,33,4
138,164,160,2,49,5,4
139,164,556,2,49,6,4
140,164,565,8,49,17,4
141,164,508,6,49,17,4
142,164,507,8,49,7,4
143,164,509,4,49,7,4
144,164,557,8,49,13,4
